ticker,KOSDAQ INDEX
field,PX_LAST
date,
2021-01-04,977.62
2021-01-05,985.76
2021-01-06,981.39
2021-01-07,988.86
2021-01-08,987.79
2021-01-11,976.63
2021-01-12,973.72
2021-01-13,979.13
2021-01-14,980.29
2021-01-15,964.44
2021-01-18,944.67
2021-01-19,957.75
2021-01-20,977.66
2021-01-21,981.4
2021-01-22,979.98
2021-01-25,999.3
2021-01-26,994.0
2021-01-27,985.92
2021-01-28,961.23
2021-01-29,928.73
2021-02-01,956.92
2021-02-02,963.81
2021-02-03,970.69
2021-02-04,964.58
2021-02-05,967.42
2021-02-08,960.78
2021-02-09,957.85
2021-02-10,964.31
2021-02-15,981.97
2021-02-16,977.74
2021-02-17,979.77
2021-02-18,967.42
2021-02-19,965.11
2021-02-22,954.29
2021-02-23,936.6
2021-02-24,906.31
2021-02-25,936.21
2021-02-26,913.94
2021-03-02,923.17
2021-03-03,930.8
2021-03-04,926.2
2021-03-05,923.48
2021-03-08,904.77
2021-03-09,896.36
2021-03-10,890.07
2021-03-11,908.01
2021-03-12,925.49
2021-03-15,926.9
2021-03-16,940.65
2021-03-17,943.78
2021-03-18,949.83
2021-03-19,952.11
2021-03-22,955.38
2021-03-23,946.31
2021-03-24,953.82
2021-03-25,954.99
2021-03-26,956.7
2021-03-29,954.1
2021-03-30,958.06
2021-03-31,956.17
2021-04-01,965.78
2021-04-02,970.09
2021-04-05,969.77
2021-04-06,968.63
2021-04-07,973.22
2021-04-08,982.02
2021-04-09,989.39
2021-04-12,1000.65
2021-04-13,1010.37
2021-04-14,1014.42
2021-04-15,1013.9
2021-04-16,1021.62
2021-04-19,1029.46
2021-04-20,1031.88
2021-04-21,1022.22
2021-04-22,1025.71
2021-04-23,1026.82
2021-04-26,1030.06
2021-04-27,1021.01
2021-04-28,998.27
2021-04-29,990.69
2021-04-30,983.45
2021-05-03,961.81
2021-05-04,967.2
2021-05-06,969.99
2021-05-07,978.3
2021-05-10,992.8
2021-05-11,978.61
2021-05-12,967.1
2021-05-13,951.77
2021-05-14,966.72
2021-05-17,962.5
2021-05-18,969.1
2021-05-20,971.13
2021-05-21,965.63
2021-05-24,948.37
2021-05-25,962.07
2021-05-26,966.06
2021-05-27,974.08
2021-05-28,977.46
2021-05-31,981.78
2021-06-01,984.59
2021-06-02,981.1
2021-06-03,990.19
2021-06-04,987.58
2021-06-07,985.86
2021-06-08,986.12
2021-06-09,978.79
2021-06-10,987.77
2021-06-11,991.13
2021-06-14,997.41
2021-06-15,997.37
2021-06-16,998.49
2021-06-17,1003.72
2021-06-18,1015.88
2021-06-21,1010.99
2021-06-22,1011.56
2021-06-23,1016.46
2021-06-24,1012.62
2021-06-25,1012.13
2021-06-28,1017.91
2021-06-29,1022.52
2021-06-30,1029.96
2021-07-01,1035.64
2021-07-02,1038.18
2021-07-05,1047.33
2021-07-06,1044.96
2021-07-07,1047.36
2021-07-08,1034.48
2021-07-09,1028.93
2021-07-12,1034.64
2021-07-13,1043.31
2021-07-14,1044.98
2021-07-15,1054.31
2021-07-16,1051.98
2021-07-19,1049.83
2021-07-20,1043.64
2021-07-21,1042.03
2021-07-22,1050.25
2021-07-23,1055.5
2021-07-26,1047.63
2021-07-27,1046.55
2021-07-28,1035.68
2021-07-29,1044.13
2021-07-30,1031.14
2021-08-02,1037.8
2021-08-03,1036.11
2021-08-04,1047.93
2021-08-05,1059.54
2021-08-06,1059.8
2021-08-09,1060.0
2021-08-10,1052.07
2021-08-11,1051.92
2021-08-12,1054.09
2021-08-13,1040.78
2021-08-17,1011.05
2021-08-18,1021.08
2021-08-19,991.15
2021-08-20,967.9
2021-08-23,993.18
2021-08-24,1013.18
2021-08-25,1017.78
2021-08-26,1020.44
2021-08-27,1023.51
2021-08-30,1031.84
2021-08-31,1038.33
2021-09-01,1045.98
2021-09-02,1047.19
2021-09-03,1053.85
2021-09-06,1052.96
2021-09-07,1054.43
2021-09-08,1037.22
2021-09-09,1034.62
2021-09-10,1037.91
2021-09-13,1026.34
2021-09-14,1037.74
2021-09-15,1042.79
2021-09-16,1039.43
