date,price
2019-01-02,595.1
2019-01-03,588.52
2019-01-04,592.33
2019-01-07,602.16
2019-01-08,596.74
2019-01-09,611.86
2019-01-10,612.14
2019-01-11,616.23
2019-01-14,610.55
2019-01-15,623.06
2019-01-16,626.79
2019-01-17,628.97
2019-01-18,633.48
2019-01-21,634.38
2019-01-22,631.11
2019-01-23,632.57
2019-01-24,640.59
2019-01-25,653.26
2019-01-28,653.03
2019-01-29,656.8
2019-01-30,665.41
2019-01-31,664.16
2019-02-01,663.92
2019-02-07,663.42
2019-02-08,652.02
2019-02-11,653.63
2019-02-12,658.53
2019-02-13,661.52
2019-02-14,670.15
2019-02-15,658.5
2019-02-18,662.64
2019-02-19,660.22
2019-02-20,669.65
2019-02-21,669.88
2019-02-22,670.18
2019-02-25,670.86
2019-02-26,668.17
2019-02-27,669.51
2019-02-28,658.19
2019-03-04,655.14
2019-03-05,650.05
2019-03-06,648.75
2019-03-07,647.13
2019-03-08,637.67
2019-03-11,638.13
2019-03-12,645.37
2019-03-13,640.93
2019-03-14,641.35
2019-03-15,648.18
2019-03-18,648.16
2019-03-19,648.23
2019-03-20,649.04
2019-03-21,657.39
2019-03-22,659.87
2019-03-25,645.39
2019-03-26,645.62
2019-03-27,644.33
2019-03-28,639.37
2019-03-29,642.74
2019-04-01,651.38
2019-04-02,655.66
2019-04-03,665.4
2019-04-04,666.67
2019-04-05,667.54
2019-04-08,667.23
2019-04-09,668.34
2019-04-10,670.41
2019-04-11,669.21
2019-04-12,671.24
2019-04-15,673.55
2019-04-16,676.58
2019-04-17,675.94
2019-04-18,664.89
2019-04-19,665.03
2019-04-22,664.95
2019-04-23,666.48
2019-04-24,660.37
2019-04-25,658.33
2019-04-26,655.25
2019-04-29,667.99
2019-04-30,664.15
2019-05-02,666.53
2019-05-03,661.01
2019-05-07,655.38
2019-05-08,651.35
2019-05-09,629.41
2019-05-10,631.6
2019-05-13,624.05
2019-05-14,623.44
2019-05-15,626.28
2019-05-16,617.01
2019-05-17,613.02
2019-05-20,615.2
2019-05-21,618.88
2019-05-22,620.28
2019-05-23,619.99
2019-05-24,614.33
2019-05-27,614.24
2019-05-28,614.54
2019-05-29,606.81
2019-05-30,613.33
2019-05-31,614.03
2019-06-03,624.76
2019-06-04,622.92
2019-06-05,623.65
2019-06-07,624.55
2019-06-10,633.57
2019-06-11,636.13
2019-06-12,634.6
2019-06-13,629.71
2019-06-14,628.49
2019-06-17,627.31
2019-06-18,630.49
2019-06-19,640.22
2019-06-20,642.31
2019-06-21,640.94
2019-06-24,641.0
2019-06-25,640.85
2019-06-26,642.06
2019-06-27,646.33
2019-06-28,645.79
2019-07-01,645.94
2019-07-02,642.23
2019-07-03,633.9
2019-07-04,639.02
2019-07-05,638.14
2019-07-08,624.77
2019-07-09,623.15
2019-07-10,626.32
2019-07-11,633.22
2019-07-12,634.84
2019-07-15,634.97
2019-07-16,638.09
2019-07-17,632.3
2019-07-18,630.32
2019-07-19,639.78
2019-07-22,640.24
2019-07-23,643.4
2019-07-24,636.68
2019-07-25,637.5
2019-07-26,635.51
2019-07-29,625.22
2019-07-30,627.64
2019-07-31,620.75
2019-08-01,619.19
2019-08-02,611.64
2019-08-05,597.68
2019-08-06,588.7
2019-08-07,585.46
2019-08-08,586.19
2019-08-09,592.22
2019-08-12,593.97
2019-08-13,587.74
2019-08-14,592.94
2019-08-16,591.66
2019-08-19,593.51
2019-08-20,600.79
2019-08-21,601.41
2019-08-22,596.59
2019-08-23,596.24
2019-08-26,586.82
2019-08-27,590.52
2019-08-28,595.1
2019-08-29,591.83
2019-08-30,603.6
2019-09-02,603.4
2019-09-03,600.89
2019-09-04,608.85
2019-09-05,616.83
2019-09-06,619.67
2019-09-09,624.69
2019-09-10,627.08
2019-09-11,632.06
2019-09-16,634.82
2019-09-17,634.0
2019-09-18,637.73
2019-09-19,642.53
2019-09-20,645.98
2019-09-23,646.13
2019-09-24,648.18
2019-09-25,639.72
2019-09-26,640.79
2019-09-27,632.09
2019-09-30,637.36
2019-10-01,639.71
2019-10-02,626.09
2019-10-04,624.46
2019-10-07,626.32
2019-10-08,635.22
2019-10-10,629.79
2019-10-11,635.59
2019-10-14,642.82
2019-10-15,642.66
2019-10-16,647.74
2019-10-17,645.48
2019-10-18,638.58
2019-10-21,642.21
2019-10-22,651.79
2019-10-23,650.03
2019-10-24,651.28
2019-10-25,650.92
2019-10-28,651.77
2019-10-29,651.99
2019-10-30,647.87
2019-10-31,648.34
2019-11-01,655.49
2019-11-04,665.19
2019-11-05,670.01
2019-11-06,669.28
2019-11-07,668.87
2019-11-08,665.0
2019-11-11,659.45
2019-11-12,666.19
2019-11-13,660.76
2019-11-14,666.68
2019-11-15,675.02
2019-11-18,674.9
2019-11-19,672.64
2019-11-20,663.05
2019-11-21,653.11
2019-11-22,655.7
2019-11-25,662.33
2019-11-26,661.69
2019-11-27,663.99
2019-11-28,659.56
2019-11-29,648.36
2019-12-02,650.26
2019-12-03,646.92
2019-12-04,642.48
2019-12-05,640.29
2019-12-06,648.27
2019-12-09,652.41
2019-12-10,655.27
2019-12-11,657.25
2019-12-12,669.68
2019-12-13,682.3
2019-12-16,681.21
2019-12-17,693.4
2019-12-18,693.29
2019-12-19,692.65
2019-12-20,694.67
2019-12-23,693.76
2019-12-24,688.67
2019-12-26,691.74
2019-12-27,695.05
2019-12-30,691.12
2020-01-02,683.66
2020-01-03,684.53
2020-01-06,679.77
2020-01-07,686.85
2020-01-08,683.53
2020-01-09,696.35
2020-01-10,702.99
2020-01-13,710.5
2020-01-14,713.91
2020-01-15,708.83
2020-01-16,717.06
2020-01-17,718.91
2020-01-20,725.06
2020-01-21,716.18
2020-01-22,725.52
2020-01-23,716.26
2020-01-28,693.61
2020-01-29,697.13
2020-01-30,683.46
2020-01-31,674.34
2020-02-03,676.23
2020-02-04,690.83
2020-02-05,694.77
2020-02-06,714.9
2020-02-07,709.32
2020-02-10,704.71
2020-02-11,711.77
2020-02-12,716.94
2020-02-13,716.28
2020-02-14,721.72
2020-02-17,720.9
2020-02-18,708.27
2020-02-19,709.72
2020-02-20,706.06
2020-02-21,696.02
2020-02-24,668.75
2020-02-25,676.97
2020-02-26,666.04
2020-02-27,659.1
2020-02-28,636.97
2020-03-02,642.48
2020-03-03,645.48
2020-03-04,661.41
2020-03-05,669.0
2020-03-06,653.58
2020-03-09,624.15
2020-03-10,628.04
2020-03-11,610.04
2020-03-12,588.75
2020-03-13,573.11
2020-03-16,553.94
2020-03-17,538.91
2020-03-18,513.15
2020-03-19,474.51
2020-03-20,509.13
2020-03-23,481.41
2020-03-24,525.72
2020-03-25,555.65
2020-03-26,546.61
2020-03-27,557.04
2020-03-30,553.14
2020-03-31,563.0
2020-04-01,537.55
2020-04-02,550.55
2020-04-03,550.44
2020-04-06,571.33
2020-04-07,580.57
2020-04-08,573.37
2020-04-09,582.19
2020-04-10,588.1
2020-04-13,577.33
2020-04-14,586.69
2020-04-16,585.99
2020-04-17,605.82
2020-04-20,597.55
2020-04-21,590.56
2020-04-22,596.37
2020-04-23,600.26
2020-04-24,592.17
2020-04-27,602.71
2020-04-28,605.82
2020-04-29,609.65
2020-05-04,591.96
2020-05-06,602.73
2020-05-07,600.95
2020-05-08,605.96
2020-05-11,602.1
2020-05-12,597.54
2020-05-13,603.63
2020-05-14,597.89
2020-05-15,598.11
2020-05-18,601.95
2020-05-19,617.99
2020-05-20,620.08
2020-05-21,622.48
2020-05-22,612.88
2020-05-25,620.31
2020-05-26,630.54
2020-05-27,630.89
2020-05-28,633.25
2020-05-29,633.55
2020-06-01,645.32
2020-06-02,652.05
2020-06-03,676.49
2020-06-04,678.19
2020-06-05,687.88
2020-06-08,688.02
2020-06-09,689.21
2020-06-10,690.79
2020-06-11,683.47
2020-06-12,667.51
2020-06-15,635.14
2020-06-16,669.3
2020-06-17,670.19
2020-06-18,667.16
2020-06-19,672.02
2020-06-22,667.04
2020-06-23,668.0
2020-06-24,679.81
2020-06-25,663.19
2020-06-26,672.36
2020-06-29,659.18
2020-06-30,663.54
2020-07-01,663.03
2020-07-02,671.41
2020-07-03,676.05
2020-07-06,687.0
2020-07-07,677.85
2020-07-08,674.77
2020-07-09,677.66
2020-07-10,672.71
2020-07-13,683.25
2020-07-14,682.51
2020-07-15,689.47
2020-07-16,682.28
2020-07-17,688.1
2020-07-20,685.63
2020-07-21,695.32
2020-07-22,691.76
2020-07-23,687.92
2020-07-24,683.88
2020-07-27,690.41
2020-07-28,707.43
2020-07-29,710.16
2020-07-30,711.56
2020-07-31,704.84
2020-08-03,704.96
2020-08-04,712.89
2020-08-05,721.13
2020-08-06,732.55
2020-08-07,735.11
2020-08-10,744.05
2020-08-11,754.45
2020-08-12,757.73
2020-08-13,759.85
2020-08-14,749.59
2020-08-18,735.52
2020-08-19,735.92
2020-08-20,707.67
2020-08-21,718.29
2020-08-24,725.56
2020-08-25,734.76
2020-08-26,736.86
2020-08-27,730.33
2020-08-28,732.09
2020-08-31,717.4
2020-09-01,723.27
2020-09-02,727.06
2020-09-03,738.39
2020-09-04,727.59
2020-09-07,732.45
2020-09-08,741.94
2020-09-09,734.1
2020-09-10,741.63
2020-09-11,741.64
2020-09-14,752.87
2020-09-15,758.66
2020-09-16,756.99
2020-09-17,746.68
2020-09-18,747.87
2020-09-21,742.37
2020-09-22,726.48
2020-09-23,727.99
2020-09-24,711.56
2020-09-25,713.98
2020-09-28,721.59
2020-09-29,726.69
2020-10-05,736.41
2020-10-06,739.03
2020-10-07,746.21
2020-10-08,746.72
2020-10-12,750.45
2020-10-13,752.05
2020-10-14,745.7
2020-10-15,739.73
2020-10-16,734.6
2020-10-19,736.23
2020-10-20,741.44
2020-10-21,743.54
2020-10-22,738.98
2020-10-23,740.86
2020-10-26,738.4
2020-10-27,734.82
2020-10-28,737.16
2020-10-29,729.62
2020-10-30,709.59
2020-11-02,720.16
2020-11-03,734.2
2020-11-04,737.73
2020-11-05,756.08
2020-11-06,757.37
2020-11-09,765.38
2020-11-10,765.46
2020-11-11,777.76
2020-11-12,774.3
2020-11-13,782.69
2020-11-16,801.29
2020-11-17,799.4
2020-11-18,799.27
2020-11-19,799.53
2020-11-20,800.51
2020-11-23,820.38
2020-11-24,825.1
2020-11-25,820.54
2020-11-26,830.86
2020-11-27,831.81
2020-11-30,815.75
2020-12-01,831.67
2020-12-02,848.07
2020-12-03,856.65
2020-12-04,872.15
2020-12-07,880.23
2020-12-08,863.12
2020-12-09,882.36
2020-12-10,878.01
2020-12-11,884.95
2020-12-14,884.37
2020-12-15,882.53
2020-12-16,885.63
2020-12-17,883.41
2020-12-18,881.37
2020-12-21,882.75
2020-12-22,869.88
2020-12-23,882.76
2020-12-24,902.96
2020-12-28,904.91
2020-12-29,907.83
2020-12-30,925.97
2021-01-04,948.86
2021-01-05,963.05
2021-01-06,952.84
2021-01-07,972.62
2021-01-08,1022.17
2021-01-11,1029.52
2021-01-12,1021.23
2021-01-13,1025.86
2021-01-14,1022.83
2021-01-15,999.68
2021-01-18,975.13
2021-01-19,1001.11
2021-01-20,1007.18
2021-01-21,1021.38
2021-01-22,1013.15
2021-01-25,1037.4
2021-01-26,1012.45
2021-01-27,1004.94
2021-01-28,987.37
2021-01-29,958.92
2021-02-01,984.46
2021-02-02,996.79
2021-02-03,1005.79
2021-02-04,990.44
2021-02-05,1001.89
2021-02-08,990.41
2021-02-09,988.01
2021-02-10,991.5
2021-02-15,1009.49
2021-02-16,1013.38
2021-02-17,1000.6
2021-02-18,984.12
2021-02-19,993.1
2021-02-22,982.61
2021-02-23,979.01
2021-02-24,959.83
2021-02-25,995.5
2021-02-26,965.03
2021-03-02,977.56
2021-03-03,990.03
2021-03-04,975.7
2021-03-05,970.49
2021-03-08,962.53
2021-03-09,957.07
2021-03-10,951.67
2021-03-11,969.51
2021-03-12,980.52
2021-03-15,975.97
2021-03-16,982.56
2021-03-17,973.69
2021-03-18,981.33
2021-03-19,970.8
2021-03-22,969.91
2021-03-23,961.12
2021-03-24,956.81
2021-03-25,959.66
2021-03-26,968.01
2021-03-29,967.17
2021-03-30,978.26
2021-03-31,973.1
2021-04-01,984.39
2021-04-02,995.51
2021-04-05,998.0
2021-04-06,1000.47
2021-04-07,1001.74
2021-04-08,1001.27
2021-04-09,994.53
2021-04-12,994.35
2021-04-13,1006.22
2021-04-14,1009.68
2021-04-15,1013.74
2021-04-16,1012.76
2021-04-19,1011.32
2021-04-20,1016.19
2021-04-21,997.52
2021-04-22,997.97
2021-04-23,1000.58
2021-04-26,1008.96
2021-04-27,1007.34
2021-04-28,996.57
2021-04-29,993.69
2021-04-30,984.81
2021-05-03,981.73
2021-05-04,990.42
2021-05-06,995.19
2021-05-07,998.4
2021-05-10,1013.22
2021-05-11,995.63
2021-05-12,978.79
2021-05-13,965.53
2021-05-14,977.11
2021-05-17,972.65
2021-05-18,982.64
2021-05-20,978.5
2021-05-21,979.61
2021-05-24,975.33
2021-05-25,983.59
2021-05-26,980.55
2021-05-27,976.11
2021-05-28,982.84
2021-05-31,987.75
2021-06-01,992.54
2021-06-02,990.94
2021-06-03,1001.05
